rank,id,name,DKP,KP,Power,Troop Power,T4 Kills,T5 Kills,Deads
57,208680184,Kutilkatak,17.31M,6.44M,28.58M,5.20M,0.13M,0.26M,1.28M
58,218982356,Lamnesik,17.05M,18.32M,31.51M,4.25M,1.06M,0.39M,0.60M
59,210531865,Cyntra City,16.86M,5.21M,26.05M,2.57M,0.24M,0.14M,1.36M
60,209043926,TOMBOYY,16.67M,23.29M,35.08M,4.54M,0.96M,0.69M,0.16M
61,210434155,Secte,16.11M,9.56M,31.37M,4.02M,0.80M,0.07M,1.10M
62,203945925,24 X҉ FramAce,14.43M,21.53M,39.74M,5.61M,0.85M,0.55M,0.19M
63,207012251,MeowMeowMeowww,13.78M,11.14M,38.88M,4.00M,0.54M,0.29M,0.68M
64,209743364,Secteryum,13.76M,3.42M,28.74M,3.52M,0.21M,0.06M,1.17M
65,205078912,24 X҉ ACE,13.56M,20.84M,46.63M,4.33M,0.88M,0.60M,0.01M
66,209302826,1Vorobey1,13.14M,19.24M,40.12M,4.12M,0.79M,0.57M,0.07M
67,209838834,Teung,12.90M,9.10M,31.00M,4.38M,0.46M,0.23M,0.72M
68,210412615,methusala,12.88M,14.83M,32.22M,5.77M,0.45M,0.52M,0.29M
69,207428704,ᶫʳБьёрн,12.84M,23.72M,31.27M,3.45M,2.14M,0.11M,0.04M
70,210293112,24 X҉ Prince,12.63M,19.10M,42.76M,4.60M,1.27M,0.23M,0.28M
71,209323093,THE END rog,11.70M,16.68M,25.98M,1.86M,0.72M,0.47M,0.10M
72,207786640,AMADIOHA,11.62M,15.39M,28.22M,2.10M,1.11M,0.21M,0.29M
73,210834790,Huyメ,11.57M,14.98M,27.05M,4.19M,0.76M,0.36M,0.24M
74,207933613,24 X҉ Sawakita,11.55M,13.65M,30.56M,7.27M,0.42M,0.47M,0.24M
75,210438552,24 X҉ PPPhúc,11.36M,13.49M,27.47M,3.89M,0.41M,0.45M,0.26M
76,209788785,24 X҉ NVTboi,11.32M,10.96M,35.62M,2.84M,0.43M,0.33M,0.42M
77,209320692,ᴱᶻLelya Fm,11.29M,4.67M,30.74M,1.43M,0.16M,0.15M,0.82M
78,210066323,Dâu tây cny,11.20M,19.72M,30.97M,7.67M,1.33M,0.16M,0.21M
79,210213330,Ita city,10.87M,1.95M,32.19M,3.55M,0.03M,0.08M,0.95M
80,209880966,24 X Blaze,10.51M,15.10M,51.80M,8.66M,0.33M,0.59M,0.00M
81,207093369,24 X҉ FangYuan,10.43M,15.43M,43.49M,8.46M,0.46M,0.54M,0.00M
82,207037071,ᴳᵛChocolate,10.41M,0.71M,28.72M,0.38M,0.07M,0.00M,1.00M
83,209875567,ᴬᵈDMAч1т,10.12M,14.49M,55.22M,8.87M,0.50M,0.47M,0.05M
84,208580783,24X҉Сиэль,9.84M,6.42M,29.31M,3.17M,0.29M,0.18M,0.58M
85,209333993,jaims cat,9.63M,6.30M,39.99M,4.31M,0.23M,0.20M,0.55M
86,209819561,MEDS21,9.41M,10.20M,31.88M,4.69M,0.43M,0.29M,0.28M
87,208108254,Alex hub,9.35M,8.52M,36.01M,2.13M,0.37M,0.24M,0.39M
88,208973298,24 X҉ AndiUmar,9.05M,10.01M,32.99M,6.17M,0.26M,0.37M,0.22M
89,210394588,24 X҉ Tường,9.03M,13.72M,25.36M,3.08M,1.16M,0.11M,0.16M
90,206969476,24 X҉ Xatarê,8.90M,8.20M,36.83M,5.81M,0.73M,0.05M,0.46M
91,208585387,Топoль,8.26M,15.33M,45.27M,6.82M,1.27M,0.08M,0.07M
92,210101700,Jinozz,8.00M,3.07M,34.30M,6.69M,0.11M,0.10M,0.60M
93,209345131,ᴰᴷCamaron,7.86M,8.81M,28.84M,3.10M,0.46M,0.14M,0.34M
94,207032911,Nemezis1,7.62M,10.54M,42.43M,5.31M,0.54M,0.25M,0.11M
95,207566610,LuffyOldfarm,6.70M,1.74M,32.09M,3.18M,0.05M,0.06M,0.55M
96,208158335,24 X҉ HellSing,6.46M,1.44M,31.04M,2.41M,0.05M,0.04M,0.55M
97,209367234,øPositron,6.25M,3.37M,37.79M,2.45M,0.15M,0.09M,0.41M
98,210445136,Xàmlông,6.22M,8.40M,39.46M,6.62M,0.45M,0.20M,0.10M
99,210354561,ᴸnichii,6.11M,8.10M,28.76M,4.72M,0.52M,0.14M,0.14M
100,209072763,ᶻᵒDungori,5.98M,4.34M,26.26M,2.19M,0.28M,0.08M,0.34M
101,210233153,ᴿᶠMixey911,5.77M,5.97M,35.06M,6.04M,0.26M,0.17M,0.20M
102,209506286,ˣˣ AMSTER,5.63M,2.69M,43.36M,2.18M,0.06M,0.11M,0.38M
103,209848443,ᴿᵂPalo4keee,5.51M,2.68M,32.65M,5.12M,0.13M,0.07M,0.38M
104,210166542,Abcdefin,5.50M,10.89M,30.90M,4.97M,0.94M,0.05M,0.00M
105,208684612,ᶲJW4101,5.35M,3.37M,27.66M,2.76M,0.24M,0.05M,0.34M
106,207014016,24 X҉ Jhoncewi,5.33M,4.00M,33.45M,5.16M,0.20M,0.10M,0.28M
107,210209380,King Bismarck,5.17M,9.10M,26.32M,4.10M,0.83M,0.04M,0.04M
108,209927994,24 X҉  Visna,5.03M,7.23M,41.28M,6.90M,0.16M,0.28M,0.00M
109,210437015,Almaspavlodar,4.72M,1.13M,25.38M,1.40M,0.06M,0.03M,0.40M
110,210661343,业๛ BREEZEメ,4.57M,11.69M,42.00M,5.46M,0.31M,0.17M,0.05M
111,209853749,24TùgGấu,4.49M,5.79M,35.48M,5.82M,0.29M,0.14M,0.09M
112,207270931,guardboy,4.36M,6.47M,35.08M,4.52M,0.19M,0.23M,0.00M
113,209007130,ᴿwmeowington,4.15M,8.05M,29.63M,7.43M,0.78M,0.01M,0.00M
114,210103821,24 X҉  dayday,3.78M,4.51M,33.63M,6.55M,0.24M,0.10M,0.10M
115,209756294,ᴰᴷREDER2502,3.48M,5.22M,27.75M,4.78M,0.50M,0.01M,0.08M
116,212491924,RedbudSupaFarm,3.34M,3.43M,31.54M,6.49M,0.25M,0.05M,0.14M
117,210373350,ero3,3.31M,4.68M,30.16M,6.07M,0.15M,0.16M,0.02M
118,209853474,kurinin23,3.14M,4.08M,25.00M,0.96M,0.17M,0.00M,0.23M
119,209862206,ᴿᵂMCDragoon,3.00M,3.31M,34.38M,7.94M,0.07M,0.13M,0.07M
120,209944070,24X҉  PaTRoN46,2.98M,4.72M,35.03M,2.44M,0.22M,0.12M,0.00M
121,210564758,lord ismail,2.97M,4.07M,30.26M,5.45M,0.23M,0.09M,0.05M
122,210151511,Snoww40,2.79M,1.59M,39.47M,5.18M,0.03M,0.06M,0.17M
123,209756441,ᴰᴷllama2502,2.61M,5.09M,26.99M,4.95M,0.44M,0.02M,0.01M
124,210372799,24 CHEZCKO,2.55M,2.16M,32.99M,6.10M,0.13M,0.04M,0.13M
125,207320759,LAPU  LAPU,2.51M,1.19M,29.41M,2.99M,0.05M,0.03M,0.18M
126,210372642,NTThaSN,2.25M,4.49M,28.88M,6.27M,0.44M,0.00M,0.00M
127,208762017,SP N,2.20M,3.00M,29.13M,6.99M,0.14M,0.08M,0.03M
128,213221751,24 X҉ vSharKs,1.98M,3.96M,32.84M,7.48M,0.40M,0.00M,0.00M
129,210373344,MrGazzz,1.52M,1.93M,26.36M,3.74M,0.09M,0.05M,0.03M
130,209306575,Spartacus6,1.44M,1.81M,37.15M,7.10M,0.07M,0.06M,0.02M
131,210229272,Kandamiala,1.40M,2.08M,26.15M,4.47M,0.12M,0.04M,0.01M
132,208630834,24 X҉  Mommy,1.39M,2.23M,26.30M,3.61M,0.11M,0.05M,0.00M
133,210740345,Basiliscus,1.34M,2.68M,30.68M,7.62M,0.27M,0.00M,0.00M
134,210533310,Vates,1.24M,2.47M,32.43M,7.56M,0.25M,0.00M,0.00M
135,209312381,Yola61,1.22M,1.72M,25.02M,5.43M,0.13M,0.02M,0.03M
136,208560935,Milk 1,1.20M,0.79M,29.58M,2.52M,0.07M,0.01M,0.08M
137,210622572,Radamanthys,1.12M,2.21M,30.18M,6.41M,0.21M,0.00M,0.00M
138,210532839,Beelphegor,1.09M,2.16M,33.53M,8.32M,0.21M,0.00M,0.00M
139,212007469,Ulvsbane farm,1.09M,0.48M,28.33M,2.22M,0.02M,0.02M,0.08M
140,211892788,ᶲJW4101 Farma,1.06M,1.66M,25.98M,3.75M,0.12M,0.02M,0.01M
141,210539282,Scriptor,0.97M,1.93M,33.31M,7.85M,0.19M,0.00M,0.00M
142,210013615,ᴹᴰLadyVic,0.84M,0.38M,29.80M,1.50M,0.04M,0.00M,0.06M
143,210082550,KillerBeuty,0.74M,1.14M,26.35M,0.78M,0.09M,0.00M,0.03M
144,209686553,ATN0Ghost,0.66M,1.05M,27.28M,3.42M,0.05M,0.03M,0.00M
145,208821197,ᴰᴾJoe Black,0.49M,1.01M,25.87M,1.80M,0.10M,0.00M,0.00M
146,208198410,ᴿᵂintruglio,0.42M,0.91M,29.38M,7.19M,0.08M,0.00M,0.00M
147,206917763,solano,0.27M,0.40M,26.10M,1.68M,0.01M,0.01M,0.00M
148,210394486,sencerbatur,0.26M,0.43M,29.19M,3.11M,0.03M,0.01M,0.00M
149,210218341,DEMId 01,0.15M,0.27M,28.70M,1.66M,0.02M,0.00M,0.00M
150,209986084,maiconphieu,0.13M,0.08M,25.79M,5.60M,0.00M,0.00M,0.01M
151,207742044,xxAgresif,0.12M,0.23M,30.81M,4.40M,0.02M,0.00M,0.00M
152,209171610,ᵍˢ BÙM,0.08M,0.16M,26.96M,0.98M,0.02M,0.00M,0.00M
153,209509609,Ryyysiek,0.01M,0.02M,30.13M,4.75M,0.00M,0.00M,0.00M
154,210517889,babyb0y,0.01M,0.01M,37.23M,7.23M,0.00M,0.00M,0.00M
155,210435381,Supper Saiyan,0.00M,0.00M,25.51M,2.81M,0.00M,0.00M,0.00M
156,206974141,ᴳᴴKaiO,0.00M,0.00M,30.53M,4.66M,0.00M,0.00M,0.00M
157,206949917,marious1990,0.00M,0.00M,34.62M,1.53M,0.00M,0.00M,0.00M
158,208202264,KrazyBus,0.00M,0.00M,39.09M,6.68M,0.00M,0.00M,0.00M
159,208294913,inactiv3,0.00M,0.00M,31.60M,0.28M,0.00M,0.00M,0.00M
160,208313590,Jack メ Mengocok,0.00M,0.00M,27.54M,0.04M,0.00M,0.00M,0.00M
161,208622212,Ulvsbane,0.00M,0.00M,35.35M,2.80M,0.00M,0.00M,0.00M
162,208756315,24 X҉  A Phàm,0.00M,0.00M,25.58M,0.45M,0.00M,0.00M,0.00M
163,208850800,24 X҉ 도주이득,0.00M,0.00M,27.74M,2.39M,0.00M,0.00M,0.00M
164,209294221,24X҉AlphaWolf,0.00M,0.00M,49.77M,2.47M,0.00M,0.00M,0.00M
165,209321704,HOTBEAST,0.00M,0.00M,33.42M,6.64M,0.00M,0.00M,0.00M
166,209322462,ˣPoseidon,0.00M,0.00M,29.06M,4.03M,0.00M,0.00M,0.00M
167,209482763,Éléna,0.00M,0.00M,30.63M,1.83M,0.00M,0.00M,0.00M
168,209502334,24 X҉WilliamQ8,0.00M,0.00M,45.57M,6.27M,0.00M,0.00M,0.00M
169,209531678,Crisssss,0.00M,0.00M,34.43M,4.96M,0.00M,0.00M,0.00M
170,209607393,柱 VeNdDeTtA,0.00M,0.00M,40.87M,7.58M,0.00M,0.00M,0.00M
171,209619554,ᴹᴰDoC OcK,0.00M,0.00M,40.98M,0.45M,0.00M,0.00M,0.00M
172,209620976,SUPERMANx,0.00M,0.00M,31.96M,6.44M,0.00M,0.00M,0.00M
173,209829051,24 X҉ Hexxy,0.00M,0.00M,25.21M,3.70M,0.00M,0.00M,0.00M
174,209837031,24 X҉  ЫЫЫ,0.00M,0.00M,28.02M,4.81M,0.00M,0.00M,0.00M
175,209905081,24X҉  TolganaC,0.00M,0.00M,40.54M,2.34M,0.00M,0.00M,0.00M
176,209924348,24 X҉ Fuzjaaa,0.00M,0.00M,29.15M,2.94M,0.00M,0.00M,0.00M
177,209926937,우라차차,0.00M,0.00M,29.47M,4.79M,0.00M,0.00M,0.00M
178,210190324,Legend68,0.00M,0.00M,29.94M,0.01M,0.00M,0.00M,0.00M
179,210210393,Zhâk,0.00M,0.00M,29.42M,6.79M,0.00M,0.00M,0.00M
180,210254146,Алекс 2909,0.00M,0.00M,32.95M,5.06M,0.00M,0.00M,0.00M
181,210272139,Inf1n1ty,0.00M,0.00M,30.62M,3.94M,0.00M,0.00M,0.00M
182,210313245,24 X҉ ヅÖrökヅ,0.00M,0.00M,27.38M,1.70M,0.00M,0.00M,0.00M
183,210376950,NightStarr,0.00M,0.00M,26.56M,5.68M,0.00M,0.00M,0.00M
184,210490061,24 X҉ DuMuc,0.00M,0.00M,29.51M,1.63M,0.00M,0.00M,0.00M
185,210876904,Slim 15,0.00M,0.00M,28.91M,6.21M,0.00M,0.00M,0.00M
186,210944394,xThanhLong,0.00M,0.00M,25.64M,7.37M,0.00M,0.00M,0.00M
187,211557716,ᴰᴾCyanide,0.00M,0.00M,25.42M,4.25M,0.00M,0.00M,0.00M
188,212579837,Xàmlông farm,0.00M,0.00M,27.01M,2.63M,0.00M,0.00M,0.00M
